ma,province,total_doses,dose1_18andover,dose2_18andover,dose3_18andover,dose1_12to17,dose2_12to17,dose1_5to11,dose2_5to11,population_18andover,population_12to17,population_5to11,the_ratio_of_dose1_population_18andover,the_ratio_of_dose2_population_18andover,the_ratio_of_dose3_population_18andover,the_ratio_of_dose1_population_12to17,the_ratio_of_dose2_population_12to17,the_ratio_of_dose3_population_12to17,the_ratio_of_dose1_population_5to11,the_ratio_of_dose2_population_5to11,the_ratio_of_dose3_population_5to11
66,Đắc Lắc,3722816,1262813,1208476,356355,184965,171551,10140,0,1266098,185763,230749,0.997,0.954,0.281,0.996,0.923,0,0.044,0,0
67,Đắk Nông,1361784,403464,399700,186311,68281,66310,16625,0,404872,68824,94245,0.997,0.987,0.46,1,0.963,0,0.176,0,0
68,Lâm Đồng,3048851,983684,969337,270379,141973,123328,31660,0,972137,131801,179662,1,0.997,0.278,1,0.936,0,0.176,0,0
70,Bình Phước,2263824,753676,723821,328414,109872,101037,24775,0,758594,107044,139023,0.994,0.954,0.433,1,0.944,0,0.178,0,0
72,Tây Ninh,2616989,948968,897255,521713,109710,101513,5281,0,954662,103358,116688,0.994,0.94,0.546,1,0.982,0,0.045,0,0
74,Bình Dương,6834780,2634142,2196403,1440424,199855,167983,32184,0,2066553,180024,275081,1,1,0.697,1,0.933,0,0.117,0,0
75,Đồng Nai,7185929,2840333,2746943,765350,298695,274599,78584,0,2489971,292031,440000,1,1,0.307,1,0.94,0,0.179,0,0
77,Bà Rịa - Vũng Tàu,2811451,971107,913900,664784,110539,109284,13162,0,956596,112724,110762,1,0.955,0.695,0.981,0.969,0,0.119,0,0
79,Hồ Chí Minh,20701678,7401055,6689934,4271471,735852,686779,233459,0,6690998,808824,898537,1,1,0.638,0.91,0.849,0,0.26,0,0
80,Long An,4501980,1501827,1465991,1149874,172997,159845,28426,0,1452231,167662,184624,1,1,0.792,1,0.953,0,0.154,0,0
82,Tiền Giang,4048589,1325690,1281884,870645,158487,158833,14731,0,1300609,158524,172983,1,0.986,0.669,1,1,0,0.085,0,0
83,Bến Tre,3077262,1024932,1014106,323587,107728,106287,19821,0,1038922,104446,132151,0.987,0.976,0.311,1,1,0,0.15,0,0
84,Trà Vinh,2133686,698980,685479,521092,98647,94348,20764,0,698227,96275,120411,1,0.982,0.746,1,0.98,0,0.172,0,0
86,Vĩnh Long,2503545,779428,767461,462056,94177,89326,20386,0,769026,91692,106867,1,0.998,0.601,1,0.974,0,0.191,0,0
87,Đồng Tháp,3704365,1161677,1220823,606117,159914,142815,26924,0,1245157,159973,178550,0.933,0.98,0.487,1,0.893,0,0.151,0,0
89,An Giang,4268624,1378121,1363647,448211,208127,192341,12180,0,1371622,198826,222440,1,0.994,0.327,1,0.967,0,0.055,0,0
91,Kiên Giang,3549700,1238102,1176657,720303,167347,159082,19237,0,1190277,172958,215957,1,0.989,0.605,0.968,0.92,0,0.089,0,0
92,Cần Thơ,2852608,945449,928450,385646,111688,104367,23923,0,947860,112746,125456,0.997,0.98,0.407,0.991,0.926,0,0.191,0,0
93,Hậu Giang,1620402,533019,515667,156120,74049,71656,12146,0,536163,70270,78567,0.994,0.962,0.291,1,1,0,0.155,0,0
94,Sóc Trăng,2740769,899036,865520,48563,116852,111026,29261,0,866520,111555,201296,1,0.999,0.056,1,0.995,0,0.145,0,0
95,Bạc Liêu,1739737,568735,561364,237698,88835,86255,15106,0,572580,90822,105959,0.993,0.98,0.415,0.978,0.95,0,0.143,0,0
96,Cà Mau,2612644,820314,809499,247085,127106,126643,15520,0,813771,112247,126774,1,0.995,0.304,1,1,0,0.122,0,0
