ma,province,age,dose1,dose2,dose3
62,Kon Tum,Age 5 to 11,5468,0,0
62,Kon Tum,Age 12 to 17,60178,55973,0
62,Kon Tum,Age 18 and over,321753,321906,130746
64,Gia Lai,Age 5 to 11,24182,0,0
64,Gia Lai,Age 12 to 17,170115,152184,0
64,Gia Lai,Age 18 and over,996471,922967,318421
66,Đắc Lắc,Age 5 to 11,10140,0,0
66,Đắc Lắc,Age 12 to 17,184965,171551,0
66,Đắc Lắc,Age 18 and over,1262813,1208476,356355
67,Đắk Nông,Age 5 to 11,16625,0,0
67,Đắk Nông,Age 12 to 17,68281,66310,0
67,Đắk Nông,Age 18 and over,403464,399700,186311
68,Lâm Đồng,Age 5 to 11,31660,0,0
68,Lâm Đồng,Age 12 to 17,141973,123328,0
68,Lâm Đồng,Age 18 and over,983684,969337,270379
70,Bình Phước,Age 5 to 11,24775,0,0
70,Bình Phước,Age 12 to 17,109872,101037,0
70,Bình Phước,Age 18 and over,753676,723821,328414
72,Tây Ninh,Age 5 to 11,5281,0,0
72,Tây Ninh,Age 12 to 17,109710,101513,0
72,Tây Ninh,Age 18 and over,948968,897255,521713
74,Bình Dương,Age 5 to 11,32184,0,0
74,Bình Dương,Age 12 to 17,199855,167983,0
74,Bình Dương,Age 18 and over,2634142,2196403,1440424
75,Đồng Nai,Age 5 to 11,78584,0,0
75,Đồng Nai,Age 12 to 17,298695,274599,0
75,Đồng Nai,Age 18 and over,2840333,2746943,765350
77,Bà Rịa - Vũng Tàu,Age 5 to 11,13162,0,0
77,Bà Rịa - Vũng Tàu,Age 12 to 17,110539,109284,0
77,Bà Rịa - Vũng Tàu,Age 18 and over,971107,913900,664784
79,Hồ Chí Minh,Age 5 to 11,233459,0,0
79,Hồ Chí Minh,Age 12 to 17,735852,686779,0
79,Hồ Chí Minh,Age 18 and over,7401055,6689934,4271471
80,Long An,Age 5 to 11,28426,0,0
80,Long An,Age 12 to 17,172997,159845,0
80,Long An,Age 18 and over,1501827,1465991,1149874
82,Tiền Giang,Age 5 to 11,14731,0,0
82,Tiền Giang,Age 12 to 17,158487,158833,0
82,Tiền Giang,Age 18 and over,1325690,1281884,870645
83,Bến Tre,Age 5 to 11,19821,0,0
83,Bến Tre,Age 12 to 17,107728,106287,0
83,Bến Tre,Age 18 and over,1024932,1014106,323587
84,Trà Vinh,Age 5 to 11,20764,0,0
84,Trà Vinh,Age 12 to 17,98647,94348,0
84,Trà Vinh,Age 18 and over,698980,685479,521092
86,Vĩnh Long,Age 5 to 11,20386,0,0
86,Vĩnh Long,Age 12 to 17,94177,89326,0
86,Vĩnh Long,Age 18 and over,779428,767461,462056
87,Đồng Tháp,Age 5 to 11,26924,0,0
87,Đồng Tháp,Age 12 to 17,159914,142815,0
87,Đồng Tháp,Age 18 and over,1161677,1220823,606117
89,An Giang,Age 5 to 11,12180,0,0
89,An Giang,Age 12 to 17,208127,192341,0
89,An Giang,Age 18 and over,1378121,1363647,448211
91,Kiên Giang,Age 5 to 11,19237,0,0
91,Kiên Giang,Age 12 to 17,167347,159082,0
91,Kiên Giang,Age 18 and over,1238102,1176657,720303
92,Cần Thơ,Age 5 to 11,23923,0,0
92,Cần Thơ,Age 12 to 17,111688,104367,0
92,Cần Thơ,Age 18 and over,945449,928450,385646
93,Hậu Giang,Age 5 to 11,12146,0,0
93,Hậu Giang,Age 12 to 17,74049,71656,0
93,Hậu Giang,Age 18 and over,533019,515667,156120
94,Sóc Trăng,Age 5 to 11,29261,0,0
94,Sóc Trăng,Age 12 to 17,116852,111026,0
94,Sóc Trăng,Age 18 and over,899036,865520,48563
95,Bạc Liêu,Age 5 to 11,15106,0,0
95,Bạc Liêu,Age 12 to 17,88835,86255,0
95,Bạc Liêu,Age 18 and over,568735,561364,237698
96,Cà Mau,Age 5 to 11,15520,0,0
96,Cà Mau,Age 12 to 17,127106,126643,0
96,Cà Mau,Age 18 and over,820314,809499,247085
