date	daily_vaccinations
2/4/2022	0
2/5/2022	
2/6/2022	
2/7/2022	
2/8/2022	
2/9/2022	400339
2/10/2022	739094
2/11/2022	385508
2/12/2022	476747
2/13/2022	269993
2/14/2022	
2/15/2022	
2/16/2022	
2/17/2022	
2/18/2022	
2/19/2022	
2/20/2022	298802
2/21/2022	326314
2/22/2022	410091
2/23/2022	273851
2/24/2022	188654
2/25/2022	408708
2/26/2022	133607
2/27/2022	216803
2/28/2022	1345407
3/1/2022	33807
3/2/2022	364397
